Frequency, Intensity
-1.500000000000000000e+01,3.256569890322191796e-02
-1.495991983967935823e+01,3.386976254996505731e-02
-1.491983967935871824e+01,-1.375876886382545496e-02
-1.487975951903807648e+01,1.610773832878861431e-02
-1.483967935871743471e+01,1.971004511244714777e-02
-1.479959919839679294e+01,-7.425321067185550183e-02
-1.475951903807615295e+01,1.076175956778765812e-02
-1.471943887775551119e+01,1.142354059043483062e-02
-1.467935871743486942e+01,5.022551778278080969e-02
-1.463927855711422765e+01,1.090949059769154295e-02
-1.459919839679358766e+01,6.156510399238948605e-02
-1.455911823647294590e+01,-1.120925467002212711e-01
-1.451903807615230413e+01,-6.278337446769266528e-02
-1.447895791583166414e+01,5.357168058876918271e-02
-1.443887775551102237e+01,8.670450480463022525e-02
-1.439879759519038060e+01,-3.639838147848709071e-02
-1.435871743486973884e+01,5.322423886426136397e-02
-1.431863727454909885e+01,-3.355456757048548566e-02
-1.427855711422845708e+01,-2.249039520806402417e-02
-1.423847695390781531e+01,-3.097944701098004350e-04
-1.419839679358717532e+01,7.606698638366787835e-02
-1.415831663326653356e+01,2.924071127673481818e-02
-1.411823647294589179e+01,-2.740427029225680350e-02
-1.407815631262525002e+01,-4.313248244604198783e-02
-1.403807615230461003e+01,-4.941764335971286781e-02
-1.399799599198396827e+01,-1.732812932217668578e-02
-1.395791583166332650e+01,3.857359167568796821e-02
-1.391783567134268473e+01,1.740705634696840254e-02
-1.387775551102204474e+01,8.177119714264730749e-03
-1.383767535070140298e+01,8.786187853928319538e-03
-1.379759519038076121e+01,-4.935220349810857943e-03
-1.375751503006011944e+01,1.029989780513449887e-01
-1.371743486973947945e+01,4.108095271404232918e-02
-1.367735470941883769e+01,-2.918719961147618613e-02
-1.363727454909819592e+01,2.453746575792228185e-02
-1.359719438877755593e+01,-3.648739170086320871e-02
-1.355711422845691416e+01,-3.701255664355066269e-03
-1.351703406813627240e+01,4.845298274195324051e-03
-1.347695390781563063e+01,1.213138828954263976e-01
-1.343687374749499064e+01,5.280206025465365022e-03
-1.339679358717434887e+01,-1.213357574556086019e-02
-1.335671342685370711e+01,1.265916904422332775e-02
-1.331663326653306711e+01,2.294091977891486722e-02
-1.327655310621242535e+01,2.519084901816258035e-02
-1.323647294589178358e+01,6.912337916864114140e-02
-1.319639278557114181e+01,5.409968447383645129e-02
-1.315631262525050182e+01,6.201915638950358106e-02
-1.311623246492986006e+01,-1.030323315502236492e-01
-1.307615230460921829e+01,5.725348257572839689e-02
-1.303607214428857652e+01,-7.030852875807432067e-02
-1.299599198396793653e+01,-1.277676511859363387e-02
-1.295591182364729477e+01,-1.280970209095607347e-02
-1.291583166332665300e+01,7.258649480134471074e-03
-1.287575150300601123e+01,-5.754448840025800510e-02
-1.283567134268537124e+01,2.019024473453625082e-02
-1.279559118236472948e+01,-3.291757445414117411e-02
-1.275551102204408771e+01,7.068620646861546383e-03
-1.271543086172344772e+01,5.231209870482197294e-03
-1.267535070140280595e+01,-2.308130566063353734e-02
-1.263527054108216419e+01,-4.360208389970667703e-02
-1.259519038076152242e+01,9.363985931129437112e-02
-1.255511022044088243e+01,-1.379702833401968698e-01
-1.251503006012024066e+01,1.420400361259763905e-03
-1.247494989979959890e+01,5.009801606048042144e-02
-1.243486973947895891e+01,-1.658627172011273646e-02
-1.239478957915831714e+01,-2.519425893704455369e-02
-1.235470941883767537e+01,2.419241262453292532e-02
-1.231462925851703361e+01,-2.171463044704497955e-02
-1.227454909819639184e+01,1.471029431613704239e-02
-1.223446893787575185e+01,3.011438882677336393e-02
-1.219438877755511008e+01,-6.932662230588266389e-03
-1.215430861723447009e+01,-1.027026547184980293e-02
-1.211422845691382832e+01,1.014207801776758067e-01
-1.207414829659318656e+01,-3.831915377665696953e-02
-1.203406813627254479e+01,1.607978571165853687e-02
-1.199398797595190302e+01,5.174185771829142855e-02
-1.195390781563126303e+01,7.311579484670044024e-03
-1.191382765531062127e+01,6.535808328184405935e-02
-1.187374749498997950e+01,-9.120498457731964631e-03
-1.183366733466933951e+01,7.270464962710523893e-02
-1.179358717434869774e+01,3.803960904696448986e-02
-1.175350701402805598e+01,1.799995268354083744e-01
-1.171342685370741421e+01,-9.392584946643915689e-02
-1.167334669338677422e+01,-3.845878575463144988e-02
-1.163326653306613245e+01,7.958474999008360862e-02
-1.159318637274549069e+01,5.923954328797652324e-02
-1.155310621242485070e+01,1.571162180101470102e-02
-1.151302605210420893e+01,3.225776587621329017e-02
-1.147294589178356716e+01,2.660299177955590191e-02
-1.143286573146292540e+01,1.843846636333460604e-02
-1.139278557114228363e+01,5.357908573400038676e-02
-1.135270541082164364e+01,6.456909378086839180e-02
-1.131262525050100187e+01,-1.903537586659513961e-02
-1.127254509018036188e+01,3.847602949194857402e-02
-1.123246492985972012e+01,-9.102551324457096998e-03
-1.119238476953907835e+01,6.688953315808365829e-02
-1.115230460921843658e+01,1.181775889568405929e-02
-1.111222444889779482e+01,8.133545394036367782e-02
-1.107214428857715482e+01,3.754208459426459227e-02
-1.103206412825651306e+01,5.063171463266005756e-02
-1.099198396793587307e+01,1.734707135343258599e-01
-1.095190380761523130e+01,6.721147997313071942e-02
-1.091182364729458953e+01,6.180309729159083609e-02
-1.087174348697394777e+01,4.866450940900586553e-02
-1.083166332665330600e+01,-2.161181362708474926e-02
-1.079158316633266423e+01,8.679935201530580846e-02
-1.075150300601202424e+01,2.381803532834598017e-02
-1.071142284569138425e+01,2.482736171930944799e-02
-1.067134268537074249e+01,2.545397639853446553e-02
-1.063126252505010072e+01,1.549126312381717691e-02
-1.059118236472945895e+01,5.022187330981926767e-02
-1.055110220440881719e+01,-1.372883732733969075e-02
-1.051102204408817542e+01,1.882312882420669048e-02
-1.047094188376753543e+01,1.389454349076652828e-01
-1.043086172344689366e+01,6.123301708219249656e-02
-1.039078156312625367e+01,8.048314658971687102e-03
-1.035070140280561191e+01,3.797566054975436145e-02
-1.031062124248497014e+01,1.159588021180802259e-01
-1.027054108216432837e+01,-3.254026476183545513e-02
-1.023046092184368661e+01,-9.482546486097691296e-03
-1.019038076152304662e+01,5.790850424939247842e-02
-1.015030060120240485e+01,-1.244190494628109878e-02
-1.011022044088176486e+01,1.167681927582349122e-01
-1.007014028056112309e+01,-7.147916475366833389e-04
-1.003006012024048133e+01,8.025590975014840200e-02
-9.989979959919839558e+00,2.286597009971075289e-02
-9.949899799599197792e+00,5.184901234397006758e-02
-9.909819639278556025e+00,-1.524555676389029862e-02
-9.869739478957916035e+00,3.436687964929446837e-02
-9.829659318637276044e+00,3.155870448390510341e-02
-9.789579158316634278e+00,7.055590496426109026e-03
-9.749498997995992511e+00,8.816668154102239030e-02
